Date,Month,IMF_Special Drawing Right,ASIA_Australian Dollar,ASIA_Hong Kong Dollar,ASIA_Japanese Yen,ASIA_Korean Won,ASIA_New Zealand Dollar,ASIA_Chinese Yuan,ASIA_Taiwan Dollar,ASEAN_Indonesian Repiah,ASEAN_Malaysian Ringgit,ASEAN_Philippine Peso,ASEAN_Singapore Dollar,ASEAN_Thai Baht,ASEAN_Vietnamese Dong,EUROPE_Euro,EUROPE_Great Britian Pounds
2023-01-01,Jan,5545.0,2906.0,524.0,31.55,3.34,2662.0,608.0,136.0,0.27,967.0,75.24,3125.0,125.0,0.18,4468.0,5083.0
2023-02-01,Feb,5368.0,2717.0,515.0,29.69,3.06,2490.0,581.0,132.0,0.27,903.0,72.83,2995.0,115.0,0.17,4267.0,4837.0
2023-03-01,Mar,5454.0,2720.0,516.0,30.62,3.12,2531.0,590.0,133.0,0.27,918.0,74.52,3054.0,118.0,0.17,4409.0,5010.0
2023-04-01,Apr,5561.0,2723.0,524.0,30.74,3.08,2529.0,594.0,134.0,0.28,923.0,73.85,3081.0,121.0,0.18,4547.0,5129.0
2023-05-01,May,5481.0,2691.0,526.0,29.36,3.11,2489.0,581.0,134.0,0.28,894.0,73.12,3041.0,118.0,0.18,4405.0,5092.0
2023-06-01,Jun,5514.0,2736.0,527.0,28.62,3.14,2513.0,570.0,133.0,0.28,884.0,74.7,3052.0,116.0,0.18,4508.0,5224.0
2023-07-01,Jul,5571.0,2743.0,530.0,29.56,3.23,2533.0,577.0,132.0,0.27,907.0,75.26,3098.0,121.0,0.17,4527.0,5291.0
2023-08-01,Aug,5513.0,2685.0,530.0,28.4,3.14,2471.0,570.0,131.0,0.27,895.0,73.3,3071.0,118.0,0.17,4518.0,5253.0
2023-09-01,Sep,5405.0,2626.0,527.0,27.59,3.05,2449.0,565.0,128.0,0.27,876.0,72.35,3006.0,112.0,0.17,4336.0,5015.0
2023-10-01,Oct,5418.0,2627.0,529.0,27.64,3.06,2407.0,565.0,128.0,0.26,868.0,72.61,3023.0,115.0,0.17,4363.0,5002.0
2023-11-01,Nov,5487.0,2731.0,528.0,27.93,3.19,2538.0,578.0,132.0,0.27,885.0,74.31,3091.0,118.0,0.17,4523.0,5226.0
2023-12-01,Dec,5481.0,2793.0,523.0,28.99,3.17,2589.0,575.0,133.0,0.27,887.0,73.63,3102.0,120.0,0.17,4541.0,5231.0
