country name,country code,indicator name,indicator code,year,value,row_number
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1998,18.67,1
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1999,8.820036888,2
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,16.6,3
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2001,9.5,4
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2002,13.1,5
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003,19.3,6
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004,14.2,7
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2005,20.5,8
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2006,27.5,9
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2007,20.2,10
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2008,26.4,11
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2009,25.6,12
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2010,31.1,13
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2011,37.4,14
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2012,42.3,15
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2013,50.9,16
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,56.1,17
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,62.7,18
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,68.8,19
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,89.1,20
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,80.7,21
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,84.0,22
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,86.4,23
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,82.5,24
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,2022,92.3,25
