Sector,Sub-sector,Year,Value,Is_estimated,Is_predicted
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2019,7.1,False,False
1.0 National Accounts and Prices,1.2 Agriculture,2019,-0.5,False,False
1.0 National Accounts and Prices,1.3 Industry,2019,11.3,False,False
1.0 National Accounts and Prices,1.4 Services,2019,6.2,False,False
1.0 National Accounts and Prices,1.5 Consumer Price Index,2019,1.9,False,False
2.0 General Government (% of GDP),2.1 Revenue and grants,2019,27.0,False,False
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2019,25.5,False,False
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2019,1.5,False,False
2.0 General Government (% of GDP),2.4 Foreign financing,2019,3.1,False,False
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2019,-0.8,False,False
2.0 General Government (% of GDP),2.6 Amortization,2019,-0.8,False,False
3.0 Money and Credit,3.1 Broad money (% change),2019,18.2,False,False
3.0 Money and Credit,3.2 Credit to the private sector (% change),2019,27.0,False,False
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2019,,False,False
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2019,,False,False
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2019,,False,False
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2019,,False,False
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2019,9.7,False,False
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2019,-8.0,False,False
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2019,,False,False
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2019,,False,False
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2020,-3.1,False,False
1.0 National Accounts and Prices,1.2 Agriculture,2020,0.6,False,False
1.0 National Accounts and Prices,1.3 Industry,2020,-1.4,False,False
1.0 National Accounts and Prices,1.4 Services,2020,-6.3,False,False
1.0 National Accounts and Prices,1.5 Consumer Price Index,2020,2.9,False,False
2.0 General Government (% of GDP),2.1 Revenue and grants,2020,24.1,False,False
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2020,28.8,False,False
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2020,-4.7,False,False
2.0 General Government (% of GDP),2.4 Foreign financing,2020,4.7,False,False
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2020,-1.0,False,False
2.0 General Government (% of GDP),2.6 Amortization,2020,-1.0,False,False
3.0 Money and Credit,3.1 Broad money (% change),2020,15.3,False,False
3.0 Money and Credit,3.2 Credit to the private sector (% change),2020,17.7,False,False
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2020,,False,False
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2020,,False,False
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2020,,False,False
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2020,,False,False
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2020,10.5,False,False
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2020,-7.5,False,False
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2020,,False,False
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2020,,False,False
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2021,3.0,False,False
1.0 National Accounts and Prices,1.2 Agriculture,2021,1.2,False,False
1.0 National Accounts and Prices,1.3 Industry,2021,9.4,False,False
1.0 National Accounts and Prices,1.4 Services,2021,-2.7,False,False
1.0 National Accounts and Prices,1.5 Consumer Price Index,2021,2.8,False,False
2.0 General Government (% of GDP),2.1 Revenue and grants,2021,22.0,False,False
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2021,29.2,False,False
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2021,-7.2,False,False
2.0 General Government (% of GDP),2.4 Foreign financing,2021,4.2,False,False
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2021,-1.1,False,False
2.0 General Government (% of GDP),2.6 Amortization,2021,-1.1,False,False
3.0 Money and Credit,3.1 Broad money (% change),2021,20.0,False,False
3.0 Money and Credit,3.2 Credit to the private sector (% change),2021,23.2,False,False
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2021,,False,False
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2021,,False,False
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2021,,False,False
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2021,,False,False
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2021,7.9,False,False
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2021,-9.7,False,False
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2021,,False,False
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2021,,False,False
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2022,5.2,False,False
1.0 National Accounts and Prices,1.2 Agriculture,2022,0.7,False,False
1.0 National Accounts and Prices,1.3 Industry,2022,8.3,False,False
1.0 National Accounts and Prices,1.4 Services,2022,3.5,False,False
1.0 National Accounts and Prices,1.5 Consumer Price Index,2022,5.5,False,False
2.0 General Government (% of GDP),2.1 Revenue and grants,2022,23.4,False,False
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2022,27.7,False,False
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2022,-4.4,False,False
2.0 General Government (% of GDP),2.4 Foreign financing,2022,5.3,False,False
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2022,-1.2,False,False
2.0 General Government (% of GDP),2.6 Amortization,2022,-1.2,False,False
3.0 Money and Credit,3.1 Broad money (% change),2022,8.2,False,False
3.0 Money and Credit,3.2 Credit to the private sector (% change),2022,18.9,False,False
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2022,,False,False
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2022,,False,False
