Year,estimates start after,country,subject descriptor,units,Value,scale,country/series-specific notes
2015,2022,Cambodia,"Gross domestic product, constant prices",National currency,95406.13,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,"Gross domestic product, constant prices",Percent change,7.21,Units,"See notes for:  Gross domestic product, constant prices (National currency)."
2015,2022,Cambodia,"Gross domestic product, current prices",National currency,98334.48,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,"Gross domestic product, current prices",U.S. dollars,24.22,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2015,2022,Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,67.74,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2015,2022,Cambodia,"Gross domestic product, deflator",Index,103.07,Units,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."
2015,2022,Cambodia,"Gross domestic product per capita, constant prices",National currency,6329156.7,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2015,2022,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,5149.59,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2015,2022,Cambodia,"Gross domestic product per capita, current prices",National currency,6523421.26,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2015,2022,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,1606.56,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2015,2022,Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,4493.54,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2015,2022,Cambodia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.06,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2015,2022,Cambodia,Implied PPP conversion rate,National currency per current international dollar,1451.73,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2015,2022,Cambodia,Total investment,Percent of GDP,29.87,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,Gross national savings,Percent of GDP,23.35,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,"Inflation, average consumer prices",Index,160.21,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,"Inflation, average consumer prices",Percent change,1.22,Units,"See notes for:  Inflation, average consumer prices (Index)."
2015,2022,Cambodia,"Inflation, end of period consumer prices",Index,161.77,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,"Inflation, end of period consumer prices",Percent change,2.85,Units,"See notes for:  Inflation, end of period consumer prices (Index)."
2015,2022,Cambodia,Volume of imports of goods and services,Percent change,21.51,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
