Year,country code,country name,indicator code,indicator name,Value
1990,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),62.34302062
1991,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),62.21624179
1992,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),62.08946295
1993,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.96268412
1994,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.83590528
1995,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.70912644
1996,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.58234761
1997,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.45556877
1998,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.32878994
1999,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.2020111
2000,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),61.07523227
2001,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.96659302
2002,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.85795377
2003,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.74931453
2004,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.64067528
2005,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.53203603
2006,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.42339678
2007,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.31475753
2008,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.20611829
2009,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),60.09747904
2010,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),59.98883979
2011,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),58.01466123
2012,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),56.04048266
2013,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),54.0663041
2014,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),52.09212554
2015,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),50.11794697
2016,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),49.2359506
2017,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),48.35395423
2018,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),47.47195785
2019,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),46.58996148
2020,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),45.7079651
2021,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),44.82596873
2022,KHM,Cambodia,AG.LND.FRST.ZS,Forest area (% of land area),43.94397235
