Year,country code,country name,indicator code,indicator name,Value
1975,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),749129748.2
1976,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),790357254.5
1977,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),716261764.5
1978,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),766642356.1
1979,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),723738502.7
1980,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),744384129.7
1981,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),815153652.4
1982,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),865516039.8
1983,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),939291262.1
1984,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),1021176059.0
1985,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),1102669184.0
1986,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),1167630318.0
1987,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),1036974910.0
1988,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),1662877859.0
1989,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),1353137648.0
1990,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),1402541177.0
1991,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2054974089.0
1992,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2491486594.0
1993,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2533727592.0
1994,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2791435272.0
1995,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),3441205693.0
1996,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),3506695720.0
1997,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),3443413389.0
1998,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),3120425503.0
1999,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),3517242477.0
2000,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),3694168979.0
2001,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),4145665970.0
2002,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),4501227627.0
2003,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),5046693484.0
2004,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),5883297160.0
2005,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),7066296463.0
2006,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),8350531017.0
2007,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),10127916460.0
2008,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),12174303999.0
2009,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),12502901170.0
2010,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),13808673288.0
2011,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),16032622024.0
2012,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),17826536700.0
2013,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),19807135253.0
2014,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),22041463968.0
2015,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),24174170369.0
2016,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),26556545153.0
2017,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),29355665910.0
2018,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),33145892169.0
2019,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),36685356408.0
2020,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),34818073901.0
2021,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),36790163687.0
2022,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),39994532960.0
2023,KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),42335646896.0
