Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2013-01-01,0.140
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2013-01-01,1.120
Interest Rate on Deposits and Loans in KHR,Term Deposits,2013-01-01,6.200
Interest Rate on Deposits and Loans in KHR,Other Deposits,2013-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2013-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2013-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2013-01-01,29.740
Interest Rate on Deposits and Loans in KHR,Other Loans,2013-01-01,20.400
Interest Rate on Deposits and Loans in USD,Demand Deposits,2013-01-01,0.100
Interest Rate on Deposits and Loans in USD,Saving Deposits,2013-01-01,0.590
Interest Rate on Deposits and Loans in USD,Term Deposits,2013-01-01,3.240
Interest Rate on Deposits and Loans in USD,Other Deposits,2013-01-01,0.110
Interest Rate on Deposits and Loans in USD,Overdraft,2013-01-01,7.330
Interest Rate on Deposits and Loans in USD,Credit Card,2013-01-01,18.350
Interest Rate on Deposits and Loans in USD,Term Loans,2013-01-01,14.540
Interest Rate on Deposits and Loans in USD,Other Loans,2013-01-01,8.600
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2013-01-01,0.110
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2013-01-01,1.240
Interest Rate on Deposits and Loans in KHR,Term Deposits,2013-01-01,6.740
Interest Rate on Deposits and Loans in KHR,Other Deposits,2013-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Overdraft,2013-01-01,24.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2013-01-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2013-01-01,29.700
Interest Rate on Deposits and Loans in KHR,Other Loans,2013-01-01,20.400
Interest Rate on Deposits and Loans in USD,Demand Deposits,2013-01-01,0.130
Interest Rate on Deposits and Loans in USD,Saving Deposits,2013-01-01,0.880
Interest Rate on Deposits and Loans in USD,Term Deposits,2013-01-01,4.050
Interest Rate on Deposits and Loans in USD,Other Deposits,2013-01-01,5.370
Interest Rate on Deposits and Loans in USD,Overdraft,2013-01-01,9.710
Interest Rate on Deposits and Loans in USD,Credit Card,2013-01-01,18.400
Interest Rate on Deposits and Loans in USD,Term Loans,2013-01-01,11.530
Interest Rate on Deposits and Loans in USD,Other Loans,2013-01-01,8.100
Interest Rate on Deposits and Loans in USD,Demand Deposits,2013-01-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2013-02-01,0.050
Interest Rate on Deposits and Loans in KHR,Term Deposits,2013-02-01,1.080
Interest Rate on Deposits and Loans in KHR,Other Deposits,2013-02-01,6.030
Interest Rate on Deposits and Loans in KHR,Overdraft,2013-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2013-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2013-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2013-02-01,29.760
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2013-02-01,0.000
Interest Rate on Deposits and Loans in USD,Saving Deposits,2013-02-01,0.100
Interest Rate on Deposits and Loans in USD,Term Deposits,2013-02-01,0.590
Interest Rate on Deposits and Loans in USD,Other Deposits,2013-02-01,3.340
Interest Rate on Deposits and Loans in USD,Overdraft,2013-02-01,0.140
Interest Rate on Deposits and Loans in USD,Credit Card,2013-02-01,6.490
Interest Rate on Deposits and Loans in USD,Term Loans,2013-02-01,19.340
Interest Rate on Deposits and Loans in USD,Other Loans,2013-02-01,14.590
Interest Rate on Deposits and Loans in USD,Demand Deposits,2013-02-01,8.760
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2013-02-01,0.070
Interest Rate on Deposits and Loans in KHR,Term Deposits,2013-02-01,1.310
Interest Rate on Deposits and Loans in KHR,Other Deposits,2013-02-01,6.670
Interest Rate on Deposits and Loans in KHR,Overdraft,2013-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Credit Card,2013-02-01,24.000
Interest Rate on Deposits and Loans in KHR,Term Loans,2013-02-01,0.000
Interest Rate on Deposits and Loans in KHR,Other Loans,2013-02-01,29.670
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2013-02-01,20.400
