Capital_Province,Total_Expenditure,Total_Current_Expenditure,Current_Exp_Type1_Personnel_Burden,Current_Exp_Type2_Operational_Expenditure,Current_Exp_Type3_Financial_Obligations,Current_Exp_Type5_Transfers,Current_Exp_Type6_Miscellaneous,Total_Capital_Expenditure,Capital_Exp_Type4_Investment_Expenditure
Banteay Meanchey,40019.0,33537.0,12136.0,15864.0,,4066.0,1471.0,6482.0,6482.0
Battambang,36358.0,35863.0,10825.0,18942.0,,5066.0,1030.0,495.0,495.0
Kampong Cham,28197.0,26507.0,6280.0,15836.0,,3421.0,970.0,1690.0,1690.0
Kampong Chhnang,31440.0,31440.0,4323.0,25752.0,,676.0,689.0,680.0,680.0
Kampong Speu,52432.0,21365.0,8039.0,9079.0,,2294.0,1953.0,31067.0,31067.0
Kampong Thom,30814.0,25165.0,4377.0,18802.0,,1314.0,672.0,5649.0,5649.0
Kampot,34552.0,30105.0,5903.0,22413.2,,841.0,947.8,4447.0,4447.0
Kandal,91307.0,82901.0,12670.0,58055.0,,11080.0,1096.0,8406.0,8406.0
Koh Kong,23298.0,22472.0,3901.0,17275.4,,809.0,486.6,826.0,826.0
Kratie,25427.0,25427.0,3772.0,19896.0,,1133.0,626.0,,
Mondul Kiri,22391.0,22391.0,3037.0,18137.2,,701.0,515.8,,
Phnom Penh,912341.0,777071.0,56772.0,203735.1,,483897.5,32666.4,135270.0,135270.0
Preah Vihear,18466.0,14828.0,3266.0,9710.0,,1268.0,584.0,3638.0,3638.0
Prey Veng,49725.0,41725.0,6516.0,32533.0,,1511.0,1165.0,8000.0,8000.0
Pursat,17920.0,13623.0,4696.0,7169.0,,1265.0,493.0,4297.0,4297.0
Ratanak Kiri,20612.0,15012.0,4200.0,9450.0,,726.0,636.0,5600.0,5600.0
Siemreap,55864.0,54374.0,11588.0,33527.3,,7884.0,1374.7,1490.0,1490.0
Preah Sihanouk,75283.0,73043.0,9434.0,57905.6,,4234.0,1469.4,2240.0,2240.0
Stung Treng,16877.0,16877.0,3085.0,12545.0,,763.0,484.0,,
Svay Rieng,32246.0,26610.0,7165.0,17786.0,,950.0,709.0,5636.0,5636.0
Takeo,32887.0,32062.0,6455.0,23905.4,,1090.0,611.6,825.0,825.0
Oddar Meanchey,20169.0,20169.0,4124.0,14237.6,,1244.0,563.4,,
Kep,19774.0,13774.0,2490.0,10077.0,,651.0,556.0,6000.0,6000.0
Pailin,14011.0,13611.0,3964.0,8702.5,,533.0,411.5,400.0,400.0
Tboung Khmum,25904.0,20242.0,5195.0,12190.2,,2035.0,821.8,5662.0,5662.0
