Capital_Province,Total_Revenue,Current_Revenue,Type1_Fiscal_Revenue,Type2_Non-Fiscal_Revenue,Type3_Miscellaneous,Type31_Miscellaneous_Domestics,Type32_Grant_Financing
Banteay Meanchey,64436.0,60736.0,52167.0,8569.0,3700.0,3700.0,
Battambang,49902.0,45902.0,38659.0,7243.0,4000.0,4000.0,
Kampong Cham,38642.0,34642.0,25951.0,8691.0,4000.0,4000.0,
Kampong Chhnang,36774.0,19974.0,16538.0,3436.0,16800.0,16800.0,
Kampong Speu,58894.0,45194.0,29632.0,15562.0,13700.0,13700.0,
Kampong Thom,36067.0,18867.0,15900.0,2967.0,17200.0,17200.0,
Kampot,44672.0,34672.0,28191.0,6481.0,10000.0,10000.0,
Kandal,157027.0,153027.0,101190.0,51837.0,4000.0,4000.0,
Koh Kong,25432.0,11932.0,8640.0,3292.0,13500.0,13500.0,
Kratie,30124.0,18624.0,8493.0,10131.0,11500.0,11500.0,
Mondul Kiri,23041.0,6541.0,5303.0,1238.0,16500.0,16500.0,
Phnom Penh,1666273.0,1653221.0,1574473.0,78748.0,13052.0,13052.0,
Preah Vihear,19256.0,7756.0,6500.0,1256.0,11500.0,11500.0,
Prey Veng,68682.0,58482.0,17270.0,41212.0,10200.0,10200.0,
Pursat,21467.0,15267.0,12474.0,2793.0,6200.0,6200.0,
Ratanak Kiri,21535.0,9035.0,7127.0,1908.0,12500.0,12500.0,
Siemreap,76691.0,72691.0,62270.0,10421.0,4000.0,4000.0,
Preah Sihanouk,138860.0,135360.0,120766.0,14594.0,3500.0,3500.0,
Stung Treng,17443.0,5843.0,4510.0,1333.0,11600.0,11600.0,
Svay Rieng,43642.0,30142.0,25973.0,4169.0,13500.0,13500.0,
Takeo,41694.0,26094.0,21366.0,4728.0,15600.0,15600.0,
Oddar Meanchey,20922.0,7422.0,5928.0,1494.0,13500.0,13500.0,
Kep,19704.0,7204.0,5704.0,1500.0,12500.0,12500.0,
Pailin,15153.0,6653.0,5419.0,1234.0,8500.0,8500.0,
Tboung Khmum,29174.0,22174.0,18295.0,3879.0,7000.0,7000.0,
