country,subject descriptor,units,scale,estimates start after,country/series-specific notes,Year,Value
Cambodia,"Gross domestic product, constant prices",National currency,Billions,2022.0,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024,2015,95406.13
Cambodia,"Gross domestic product, constant prices",Percent change,Units,2022.0,"See notes for:  Gross domestic product, constant prices (National currency).",2015,7.21
Cambodia,"Gross domestic product, current prices",National currency,Billions,2022.0,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024,2015,98334.48
Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,2022.0,"See notes for:  Gross domestic product, current prices (National currency).",2015,24.22
Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2022.0,"See notes for:  Gross domestic product, current prices (National currency).",2015,67.74
Cambodia,"Gross domestic product, deflator",Index,Units,2022.0,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",2015,103.07
Cambodia,"Gross domestic product per capita, constant prices",National currency,Units,2022.0,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2015,6329156.7
Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,2022.0,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2015,5149.59
Cambodia,"Gross domestic product per capita, current prices",National currency,Units,2022.0,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2015,6523421.26
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,2022.0,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2015,1606.56
Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,2022.0,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2015,4493.54
Cambodia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,Units,2022.0,"See notes for:  Gross domestic product, current prices (National currency).",2015,0.06
Cambodia,Implied PPP conversion rate,National currency per current international dollar,Units,2022.0,"See notes for:  Gross domestic product, current prices (National currency).",2015,1451.73
Cambodia,Total investment,Percent of GDP,Units,2022.0,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024,2015,29.87
Cambodia,Gross national savings,Percent of GDP,Units,2022.0,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024,2015,23.35
Cambodia,"Inflation, average consumer prices",Index,Units,2022.0,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024,2015,160.21
Cambodia,"Inflation, average consumer prices",Percent change,Units,2022.0,"See notes for:  Inflation, average consumer prices (Index).",2015,1.22
Cambodia,"Inflation, end of period consumer prices",Index,Units,2022.0,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024,2015,161.77
Cambodia,"Inflation, end of period consumer prices",Percent change,Units,2022.0,"See notes for:  Inflation, end of period consumer prices (Index).",2015,2.85
Cambodia,Volume of imports of goods and services,Percent change,Units,2022.0,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024",2015,21.51
