Year,Source,Percentages_of_GDP
2023,National Budget Financing,4.6
2023,Overseas Financing,2.4
2023,Public-Private Partnership Mechanism,5.4
2024,National Budget Financing,2.1
2024,Overseas Financing,2.2
2024,Public-Private Partnership Mechanism,7.1
2025,National Budget Financing,2.5
2025,Overseas Financing,2.0
2025,Public-Private Partnership Mechanism,5.8
2026,National Budget Financing,2.7
2026,Overseas Financing,2.0
2026,Public-Private Partnership Mechanism,4.8
2027,National Budget Financing,2.8
2027,Overseas Financing,2.2
2027,Public-Private Partnership Mechanism,3.6
