ក្រុម,ថ្នាក់,ថ្នាក់រង,សេចក្ដីអធិប្បាយ,row_number
011,,,ការដាំដុះដំណាំអាយុកាលខ្លី,1
,0111(1),,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,2
,,01111,ការដាំដុះដំណាំពោត,3
,,01112,ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),4
,,01113,ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),5
,,01114,ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),6
,,01119,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,7
,0112(4),,ការដាំដុះដំណាំ​ស្រូវ,8
,,01120,ការដាំដុះ​ដំណាំស្រូវ,9
,0113(5),,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,10
,,01131,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,11
,,01132,ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),12
,,01133,ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),13
,,01134,ការ​ដាំដុះដំណាំ​ផ្សិត,14
,,01135,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,15
,,01136,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,16
,,01137,ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),17
,0114,,ការ​ដាំ​ដុះដំណាំ​អំពៅ,18
,,01140,ការ​ដាំ​ដុះដំណាំ​អំពៅ,19
,0115,,ការដាំដុះដំណាំថ្នាំជក់,20
,,01150,ការដាំដុះដំណាំថ្នាំជក់,21
,0116(1),,ការដាំដុះដំណាំសរសៃ ,22
,,01160,ការដាំដុះ​ដំណាំកប្បាស និងដំណាំ​សរសៃដទៃទៀត​,23
,0119​​(2),,ការដាំដុះដំណាំរយៈពេលខ្លីដទៃទៀត,24
,,01191,ការដាំដុះដំណាំផ្កា រាប់ទាំងផលិតកម្ម​​ផ្កាដែល​កាត់​ពីដើម ក្រពុំ​ផ្កា និង​គ្រាប់​ផ្កា​,25
,,01192,ការដាំដុះដំណាំសាគូ,26
,,01199,ការដាំដុះដំណាំរយៈពេល​​ខ្លីដទៃទៀត ដែលពុំ​បានរាប់បញ្ចូល​,27
012,,,ការដាំដុះដំណាំអចិន្ត្រៃយ៍,28
,0121,,ការដាំដុះដំណាំទំពាំងបាយជូរ,29
